reviewid,best_new_music,author,genre,label,score
22375,0,stuart berman,electronic,telephone explosion,7.6
22314,1,jenn pelly,experimental,sacred bones,8.3
22362,1,sam sodomsky,folk/country,vhf,7.7
22435,0,andy beta,global,cumbancha,7.7
22373,0,andy o'connor,metal,deathwish,7.8
22447,0,marcus k. dowling,pop/r&b,aaron abernathy music,7.2
22468,1,matthew ramirez,rap,warp,8.5
22446,0,sheldon pearce,rap,self-released,7.5
22299,0,seth colter walls,jazz,new amsterdam,8.3
22434,0,andy beta,experimental,faitiche,7.9
22292,0,steven hyden,rock,matador,9.2
22368,0,jesse jarnow,rock,columbia legacy,7.5
22430,0,cameron cook,electronic,relapse,7.4
22346,1,seth colter walls,experimental,ecm,9
22388,0,andy beta,electronic,unseen worlds,6.7
22420,1,amanda petrusich,rock,jagjaguwar,9
22298,0,mark richardson,electronic,planet mu,6.6
22304,0,philip sherburne,electronic,editions mego,6.9
22425,0,saby reyes-kulkarni,experimental,angry love productions,7
22425,0,saby reyes-kulkarni,experimental,dais records,7
22444,1,jonah bromwich,electronic,other people,8.7
22426,0,saby reyes-kulkarni,rock,rough trade,6.7
22424,0,kevin lozano,experimental,don giovanni,8.2
22315,0,stuart berman,rock,numero group,7.3
22431,0,dean van nguyen,rap,cinematic,7.6
22431,0,dean van nguyen,rap,free nation,7.6
22443,0,winston cook-wilson,rap,atlantic,6.9
22432,0,evan rytlewski,rock,partisan,7
22427,0,colin joyce,rock,sub pop,7.3
22423,0,sam sodomsky,folk/country,nonesuch,6.6
22387,0,nate patrin,electronic,ninja tune,7.3
22146,0,sheldon pearce,rap,entertainment one,6
22386,0,marc masters,folk/country,paradise of bachelors,7.8
22416,0,jonah bromwich,electronic,domino,6.8
22416,0,jonah bromwich,electronic,weird world,6.8
22416,0,jonah bromwich,pop/r&b,domino,6.8
22416,0,jonah bromwich,pop/r&b,weird world,6.8
22134,1,laura snapes,rock,warner bros.,8.5
22422,0,kevin lozano,rock,4ad,7.4
22370,0,ian cohen,rock,polyvinyl,7.3
22400,0,stacey anderson,pop/r&b,interscope,6.6
22400,0,stacey anderson,pop/r&b,island,6.6
22045,0,daphne a. brooks,pop/r&b,motown,9.4
22419,0,brad nelson,rock,total treble,7.4
22428,0,nate patrin,rap,cuss,7.7
22406,0,piotr orlov,electronic,dfa,7.8
22369,0,thea ballard,electronic,leaving,6.8
22313,1,jillian mapes,pop/r&b,glassnote,8.3
22313,1,jillian mapes,rock,glassnote,8.3
22405,0,ryan leas,rock,loma vista,6.3
22302,0,brian howe,experimental,smalltown supersound,7.6
22399,0,stacey anderson,rap,!k7,7.7
22399,0,stacey anderson,rap,dogfood,7.7
22409,0,sam sodomsky,rock,columbia,7.5
22421,0,saby reyes-kulkarni,rap,zef,6.1
22385,0,chris randle,rock,salinas,7.1
22384,0,erin macleod,rap,radicalized,8.1
22418,0,rebecca haithcoat,pop/r&b,rca,6.6
22326,0,grayson haver currin,metal,profound lore,7.4
22366,0,paul a. thompson,rap,mello music group,7.5
22367,0,stephen thomas erlewine,rock,nonesuch,7.5
22402,0,nate patrin,rock,atlantic,8.2
22402,0,nate patrin,rock,rhino,8.2
22382,0,andy beta,,tompkins square,7.5
22383,0,judy berman,electronic,thrill jockey,7.6
22408,0,david glickman,electronic,alter,7
22408,0,david glickman,electronic,posh isolation,7
22407,0,marc masters,rock,jagjaguwar,7.9
22312,0,marcus j. moore,jazz,blue note,7.6
22381,0,nate patrin,electronic,stones throw,7.7
22357,0,andy o'connor,metal,relapse,8
22061,0,mike powell,experimental,island,10
22293,0,sheldon pearce,rap,warner bros.,7.8
22310,1,seth colter walls,experimental,frozen reeds,8.9
22398,0,winston cook-wilson,experimental,milan,7
22398,0,winston cook-wilson,rock,milan,7
22403,0,matthew ramirez,rap,fresh in the flesh,7.4
22397,0,evan rytlewski,rock,sinderlyn,8
22359,0,zoe camp,rock,epitaph,8.1
22365,0,jesse jarnow,electronic,magic theatre music,7.1
22358,0,marc masters,experimental,northern spy,7.6
22358,0,marc masters,jazz,northern spy,7.6
22300,1,jenn pelly,experimental,rvng intl.,8.4
22335,0,sheldon pearce,rap,lex,6.8
22379,0,saby reyes-kulkarni,metal,thrill jockey,7.7
22360,0,laura snapes,rock,drag city,7.8
22336,1,stuart berman,rock,bad seed ltd.,9
22283,1,mark richardson,,mg.art,9.2
22303,0,philip sherburne,electronic,shitkatapult,7.4
22306,0,benjamin scheim,rock,control group,7.1
22396,0,kevin lozano,global,interscope,5.9
22396,0,kevin lozano,pop/r&b,interscope,5.9
22343,1,rob mitchum,rock,reprise,9.1
22305,0,benjamin scheim,experimental,deutsche grammophon,7.5
22238,0,andy beta,,goma gringa,8.3
22350,0,stuart berman,rock,third man,8
22356,0,saby reyes-kulkarni,experimental,infrequent seams,4.6
22112,0,philip sherburne,electronic,interdimensional transmissions,6.5
22309,0,ryan leas,folk/country,fat possum,7.5
22345,0,seth colter walls,experimental,ecm new series,7.4
22255,0,andy beta,global,philips,9.4
22327,1,seth colter walls,experimental,death waltz,9
22288,0,evan rytlewski,rock,ato,7
22364,0,evan rytlewski,rap,warner bros.,4.4
22380,0,sam sodomsky,folk/country,orindal,8
22355,0,sam sodomsky,rock,dbpm,7
22289,0,philip sherburne,rock,anti-,8.1
22289,0,philip sherburne,rock,red floor,8.1
22290,0,colin joyce,electronic,weird world,7.4
22330,0,sheldon pearce,electronic,caroline,7.3
22330,0,sheldon pearce,folk/country,caroline,7.3
22361,0,matthew strauss,rap,epic,7.2
22284,1,quinn moreland,rock,don giovanni,8.2
22354,0,brad nelson,pop/r&b,interscope,7.1
22354,0,brad nelson,pop/r&b,school boy,7.1
22351,0,renato pagnani,pop/r&b,no world,6.8
22363,0,sheldon pearce,rap,top dawg,8.1
22281,0,brian howe,electronic,temporary residence,7
22342,0,seth colter walls,jazz,concord music group,8.1
22342,0,seth colter walls,jazz,stretch,8.1
22352,0,brian howe,electronic,warp,6
22322,0,philip sherburne,electronic,hyperdub,7.9
22287,0,sam sodomsky,rock,merge,7.8
22344,0,mehan jayasuriya,rap,deathbomb arc,5.3
22344,0,mehan jayasuriya,rap,sub pop,5.3
22286,0,colin joyce,,orchid tapes,7.2
22212,0,seth colter walls,experimental,cbs,9.1
22212,0,seth colter walls,experimental,columbia,9.1
22353,0,nate patrin,rap,"a.o.i., llc",6.4
22349,0,stephen thomas erlewine,rock,bloodshot,7.5
22337,0,stuart berman,,goner,7.8
21989,0,pat healy,rock,cooking vinyl,6.2
22282,1,jenn pelly,rock,jagjaguwar,8.8
22332,0,cameron cook,electronic,city slang,7.3
22332,0,cameron cook,rock,city slang,7.3
22333,0,kevin lozano,experimental,tri angle,8
22277,1,kevin lozano,experimental,temporary residence,8.7
22329,1,sheldon pearce,rap,300 entertainment,8.5
22329,1,sheldon pearce,rap,atlantic,8.5
22338,1,seth colter walls,pop/r&b,npg,8.6
22338,1,seth colter walls,rock,npg,8.6
22341,0,winston cook-wilson,electronic,bella union,6.6
22341,0,winston cook-wilson,electronic,sacred bones,6.6
22341,0,winston cook-wilson,experimental,bella union,6.6
22341,0,winston cook-wilson,experimental,sacred bones,6.6
22341,0,winston cook-wilson,rock,bella union,6.6
22341,0,winston cook-wilson,rock,sacred bones,6.6
22271,0,nate patrin,jazz,be with,7.3
22319,0,ian cohen,rap,caroline,2
22319,0,ian cohen,rock,caroline,2
22331,0,stacey anderson,rock,omnivore,5.3
22325,0,kevin lozano,electronic,just music,5.6
22320,0,jason heller,experimental,ba da bing!,7.3
22320,0,jason heller,rock,ba da bing!,7.3
22296,0,mehan jayasuriya,rap,artium,8
22296,0,mehan jayasuriya,rap,blacksmith,8
22296,0,mehan jayasuriya,rap,def jam,8
22243,0,evan rytlewski,electronic,casablanca,6.8
22243,0,evan rytlewski,electronic,fiction,6.8
22328,0,jonah bromwich,rock,domino,7.5
22279,0,sam sodomsky,folk/country,paradise of bachelors,7.5
22256,0,sam sodomsky,rock,anti-,8.1
22340,0,sheldon pearce,rap,self-released,6.5
22251,0,grayson haver currin,rock,profound lore,8.2
22257,0,philip sherburne,electronic,domino,8
22132,0,marcus j. moore,rap,mca,9.4
22254,0,zoe camp,rock,polyvinyl,6.7
22252,0,philip sherburne,electronic,studio barnhus,7.7
22260,0,saby reyes-kulkarni,experimental,artoffact,7.4
22321,0,philip sherburne,electronic,love justice sarl/justice sarl,5.9
22280,0,jay balfour,rap,mello music group,6.5
22231,0,saby reyes-kulkarni,electronic,uno,7.4
22311,0,evan rytlewski,folk/country,thirty tigers,6.3
22295,1,ryan dombal,pop/r&b,self-released,9
22285,0,patrick st. michel,,self-released,7.7
22249,0,saby reyes-kulkarni,experimental,erased tapes,7.6
22258,0,seth colter walls,experimental,new amsterdam,7.5
22258,0,seth colter walls,experimental,nna tapes,7.5
22211,0,sheldon pearce,rap,interscope,6.3
22223,0,pat healy,rock,arts & crafts,5
22276,0,dean van nguyen,,self-released,7.8
22237,0,piotr orlov,electronic,world famous,7.6
22273,0,nate patrin,pop/r&b,daptone,7
22274,0,winston cook-wilson,rap,self-released,7.7
22241,0,benjamin scheim,rock,stones throw,6.8
22233,0,philip sherburne,experimental,thrill jockey,7.8
22248,0,winston cook-wilson,rock,4ad,7.9
22236,0,laura snapes,electronic,scissor tail,8
22242,0,benjamin scheim,rock,sub pop,6.8
22239,0,seth colter walls,global,pi,8.1
22239,0,seth colter walls,jazz,pi,8.1
22239,0,seth colter walls,rap,pi,8.1
22174,0,alan light,pop/r&b,motown,10
22267,0,paul a. thompson,rap,iron works,8
22270,0,marc masters,experimental,sacred bones,7.2
22270,0,marc masters,rock,sacred bones,7.2
22230,0,kevin lozano,experimental,geographic north,8
22169,0,laura snapes,rock,i own you,5
22169,0,laura snapes,rock,upset the rhythm,5
22246,0,andrew gaerig,electronic,teklife,6.9
22272,0,seth colter walls,rock,goofin',6.4
22227,0,kevin lozano,,orchid tapes,6.7
22228,0,stuart berman,rock,fat possum,7.9
22245,0,nate patrin,rock,warp,7.6
22210,0,sheldon pearce,rap,rhymesayers,5.6
